8.00 1.00 18 2020-11-16-00:56:44
70:8b:cd:5e:4f:f0 -88 w | -88 -88
04:bd:88:76:f9:f1 -46 w | -46 -46
04:bd:88:76:f9:e0 -51 w | -51 -51
04:bd:88:76:f9:f0 -45 w | -45 -45
04:bd:88:76:f9:e2 -49 w | -49 -49
04:bd:88:76:f9:f2 -45 w | -45 -45
04:bd:88:76:f9:e1 -51 w | -51 -51
04:bd:88:76:f4:22 -80 w | -80 -80
04:bd:88:76:f4:21 -76 w | -76 -76
04:bd:88:76:f4:20 -76 w | -76 -76
04:bd:88:76:f4:31 -87 w | -87 -87
18:64:72:29:09:c0 -87 w | -87 -87
18:64:72:29:09:c2 -87 w | -87 -87
18:64:72:29:09:c1 -88 w | -88 -88
04:bd:88:76:f5:82 -79 w | -79 -79
04:bd:88:76:f5:81 -81 w | -81 -81
04:bd:88:76:f5:80 -81 w | -81 -81
04:bd:88:76:f6:92 -88 w | -88 -88

8.00 1.00 18 2020-11-16-00:57:20
70:8b:cd:5e:4f:f0 -88 w | -88 -88 -88
04:bd:88:76:f9:f1 -46 w | -46 -46 -46
04:bd:88:76:f9:e0 -51 w | -51 -51 -51
04:bd:88:76:f9:f0 -45 w | -45 -45 -45
04:bd:88:76:f9:e2 -49 w | -49 -49 -49
04:bd:88:76:f9:f2 -45 w | -45 -45 -45
04:bd:88:76:f9:e1 -51 w | -51 -51 -51
04:bd:88:76:f4:22 -80 w | -80 -80 -80
04:bd:88:76:f4:21 -76 w | -76 -76 -76
04:bd:88:76:f4:20 -76 w | -76 -76 -76
04:bd:88:76:f4:31 -87 w | -87 -87 -87
18:64:72:29:09:c0 -87 w | -87 -87 -87
18:64:72:29:09:c2 -87 w | -87 -87 -87
18:64:72:29:09:c1 -88 w | -88 -88 -88
04:bd:88:76:f5:82 -79 w | -79 -79 -79
04:bd:88:76:f5:81 -81 w | -81 -81 -81
04:bd:88:76:f5:80 -81 w | -81 -81 -81
04:bd:88:76:f6:92 -88 w | -88 -88 -88

8.00 2.00 18 2020-11-16-00:57:35
70:8b:cd:5e:4f:f0 -88 w | -88 -88 -88
04:bd:88:76:f9:f1 -46 w | -46 -46 -46
04:bd:88:76:f9:e0 -51 w | -51 -51 -51
04:bd:88:76:f9:f0 -45 w | -45 -45 -45
04:bd:88:76:f9:e2 -49 w | -49 -49 -49
04:bd:88:76:f9:f2 -45 w | -45 -45 -45
04:bd:88:76:f9:e1 -51 w | -51 -51 -51
04:bd:88:76:f4:22 -80 w | -80 -80 -80
04:bd:88:76:f4:21 -76 w | -76 -76 -76
04:bd:88:76:f4:20 -76 w | -76 -76 -76
04:bd:88:76:f4:31 -87 w | -87 -87 -87
18:64:72:29:09:c0 -87 w | -87 -87 -87
18:64:72:29:09:c2 -87 w | -87 -87 -87
18:64:72:29:09:c1 -88 w | -88 -88 -88
04:bd:88:76:f5:82 -79 w | -79 -79 -79
04:bd:88:76:f5:81 -81 w | -81 -81 -81
04:bd:88:76:f5:80 -81 w | -81 -81 -81
04:bd:88:76:f6:92 -88 w | -88 -88 -88

7.00 2.00 18 2020-11-16-00:57:49
70:8b:cd:5e:4f:f0 -88 w | -88 -88 -88
04:bd:88:76:f9:f1 -46 w | -46 -46 -46
04:bd:88:76:f9:e0 -51 w | -51 -51 -51
04:bd:88:76:f9:f0 -45 w | -45 -45 -45
04:bd:88:76:f9:e2 -49 w | -49 -49 -49
04:bd:88:76:f9:f2 -45 w | -45 -45 -45
04:bd:88:76:f9:e1 -51 w | -51 -51 -51
04:bd:88:76:f4:22 -80 w | -80 -80 -80
04:bd:88:76:f4:21 -76 w | -76 -76 -76
04:bd:88:76:f4:20 -76 w | -76 -76 -76
04:bd:88:76:f4:31 -87 w | -87 -87 -87
18:64:72:29:09:c0 -87 w | -87 -87 -87
18:64:72:29:09:c2 -87 w | -87 -87 -87
18:64:72:29:09:c1 -88 w | -88 -88 -88
04:bd:88:76:f5:82 -79 w | -79 -79 -79
04:bd:88:76:f5:81 -81 w | -81 -81 -81
04:bd:88:76:f5:80 -81 w | -81 -81 -81
04:bd:88:76:f6:92 -88 w | -88 -88 -88

6.00 2.00 18 2020-11-16-00:57:59
70:8b:cd:5e:4f:f0 -88 w | -88 -88 -88
04:bd:88:76:f9:f1 -46 w | -46 -46 -46
04:bd:88:76:f9:e0 -51 w | -51 -51 -51
04:bd:88:76:f9:f0 -45 w | -45 -45 -45
04:bd:88:76:f9:e2 -49 w | -49 -49 -49
04:bd:88:76:f9:f2 -45 w | -45 -45 -45
04:bd:88:76:f9:e1 -51 w | -51 -51 -51
04:bd:88:76:f4:22 -80 w | -80 -80 -80
04:bd:88:76:f4:21 -76 w | -76 -76 -76
04:bd:88:76:f4:20 -76 w | -76 -76 -76
04:bd:88:76:f4:31 -87 w | -87 -87 -87
18:64:72:29:09:c0 -87 w | -87 -87 -87
18:64:72:29:09:c2 -87 w | -87 -87 -87
18:64:72:29:09:c1 -88 w | -88 -88 -88
04:bd:88:76:f5:82 -79 w | -79 -79 -79
04:bd:88:76:f5:81 -81 w | -81 -81 -81
04:bd:88:76:f5:80 -81 w | -81 -81 -81
04:bd:88:76:f6:92 -88 w | -88 -88 -88

4.00 2.00 18 2020-11-16-00:58:17
70:8b:cd:5e:4f:f0 -88 w | -88 -88 -88
04:bd:88:76:f9:f1 -46 w | -46 -46 -46
04:bd:88:76:f9:e0 -51 w | -51 -51 -51
04:bd:88:76:f9:f0 -45 w | -45 -45 -45
