1.00 1.00 16 2020-11-18-20:41:29
12:d0:7a:c5:05:b5 -88 w | -88 -88
04:bd:88:76:f9:f1 -41 w | -41 -41
04:bd:88:76:f9:e0 -44 w | -44 -44
04:bd:88:76:f9:f0 -41 w | -41 -41
04:bd:88:76:f9:e2 -44 w | -44 -44
04:bd:88:76:f9:f2 -42 w | -42 -42
04:bd:88:76:f9:e1 -44 w | -44 -44
02:0e:4c:cc:67:9d -70 w | -70 -70
18:64:72:29:09:c0 -84 w | -84 -84
70:3a:0e:45:93:02 -88 w | -88 -88
18:64:72:29:09:c2 -78 w | -78 -78
18:64:72:29:09:c1 -78 w | -78 -78
62:45:b7:2c:5b:a5 -90 w | -90 -90
04:bd:88:76:f5:82 -82 w | -82 -82
04:bd:88:76:f5:81 -80 w | -80 -80
04:bd:88:76:f5:80 -80 w | -80 -80

1.00 2.00 16 2020-11-18-20:41:41
12:d0:7a:c5:05:b5 -88 w | -88 -88 -88
04:bd:88:76:f9:f1 -41 w | -41 -41 -41
04:bd:88:76:f9:e0 -44 w | -44 -44 -44
04:bd:88:76:f9:f0 -41 w | -41 -41 -41
04:bd:88:76:f9:e2 -44 w | -44 -44 -44
04:bd:88:76:f9:f2 -42 w | -42 -42 -42
04:bd:88:76:f9:e1 -44 w | -44 -44 -44
02:0e:4c:cc:67:9d -70 w | -70 -70 -70
18:64:72:29:09:c0 -84 w | -84 -84 -84
70:3a:0e:45:93:02 -88 w | -88 -88 -88
18:64:72:29:09:c2 -78 w | -78 -78 -78
18:64:72:29:09:c1 -78 w | -78 -78 -78
62:45:b7:2c:5b:a5 -90 w | -90 -90 -90
04:bd:88:76:f5:82 -82 w | -82 -82 -82
04:bd:88:76:f5:81 -80 w | -80 -80 -80
04:bd:88:76:f5:80 -80 w | -80 -80 -80

1.00 3.00 16 2020-11-18-20:41:58
12:d0:7a:c5:05:b5 -88 w | -88 -88 -88
04:bd:88:76:f9:f1 -41 w | -41 -41 -41
04:bd:88:76:f9:e0 -44 w | -44 -44 -44
04:bd:88:76:f9:f0 -41 w | -41 -41 -41
04:bd:88:76:f9:e2 -44 w | -44 -44 -44
04:bd:88:76:f9:f2 -42 w | -42 -42 -42
04:bd:88:76:f9:e1 -44 w | -44 -44 -44
02:0e:4c:cc:67:9d -70 w | -70 -70 -70
18:64:72:29:09:c0 -84 w | -84 -84 -84
70:3a:0e:45:93:02 -88 w | -88 -88 -88
18:64:72:29:09:c2 -78 w | -78 -78 -78
18:64:72:29:09:c1 -78 w | -78 -78 -78
62:45:b7:2c:5b:a5 -90 w | -90 -90 -90
04:bd:88:76:f5:82 -82 w | -82 -82 -82
04:bd:88:76:f5:81 -80 w | -80 -80 -80
04:bd:88:76:f5:80 -80 w | -80 -80 -80

3.00 2.00 16 2020-11-18-20:42:26
12:d0:7a:c5:05:b5 -88 w | -88 -88 -88
04:bd:88:76:f9:f1 -41 w | -41 -41 -41
04:bd:88:76:f9:e0 -44 w | -44 -44 -44
04:bd:88:76:f9:f0 -41 w | -41 -41 -41
04:bd:88:76:f9:e2 -44 w | -44 -44 -44
04:bd:88:76:f9:f2 -42 w | -42 -42 -42
04:bd:88:76:f9:e1 -44 w | -44 -44 -44
02:0e:4c:cc:67:9d -70 w | -70 -70 -70
18:64:72:29:09:c0 -84 w | -84 -84 -84
70:3a:0e:45:93:02 -88 w | -88 -88 -88
18:64:72:29:09:c2 -78 w | -78 -78 -78
18:64:72:29:09:c1 -78 w | -78 -78 -78
62:45:b7:2c:5b:a5 -90 w | -90 -90 -90
04:bd:88:76:f5:82 -82 w | -82 -82 -82
04:bd:88:76:f5:81 -80 w | -80 -80 -80
04:bd:88:76:f5:80 -80 w | -80 -80 -80

4.00 2.00 16 2020-11-18-20:42:41
12:d0:7a:c5:05:b5 -88 w | -88 -88 -88
04:bd:88:76:f9:f1 -41 w | -41 -41 -41
04:bd:88:76:f9:e0 -44 w | -44 -44 -44
04:bd:88:76:f9:f0 -41 w | -41 -41 -41
04:bd:88:76:f9:e2 -44 w | -44 -44 -44
04:bd:88:76:f9:f2 -42 w | -42 -42 -42
04:bd:88:76:f9:e1 -44 w | -44 -44 -44
02:0e:4c:cc:67:9d -70 w | -70 -70 -70
18:64:72:29:09:c0 -84 w | -84 -84 -84
70:3a:0e:45:93:02 -88 w | -88 -88 -88
