5.00 1.00 22 2020-11-19-01:06:02
04:bd:88:76:f5:90 -87 w | -87
04:bd:88:76:f7:20 -86 w | -86
04:bd:88:76:f7:22 -89 w | -89
04:bd:88:76:f4:c2 -76 w | -76
70:8b:cd:5e:4f:f0 -88 w | -88
04:bd:88:76:f9:e0 -48 w | -48
04:bd:88:76:f9:f1 -50 w | -50
04:bd:88:76:f9:f0 -51 w | -51
04:bd:88:76:f9:e2 -50 w | -50
04:bd:88:76:f9:e1 -48 w | -48
04:bd:88:76:f9:f2 -51 w | -51
04:bd:88:76:f4:20 -77 w | -77
18:64:72:29:09:c0 -86 w | -86
18:64:72:29:09:c2 -87 w | -87
62:45:b7:78:a1:82 -76 w | -76
18:64:72:29:09:c1 -86 w | -86
04:bd:88:76:f5:82 -83 w | -83
04:bd:88:76:f5:81 -78 w | -78
04:bd:88:77:08:22 -87 w | -87
04:bd:88:76:f5:92 -88 w | -88
04:bd:88:76:f5:80 -78 w | -78
04:bd:88:76:f5:91 -87 w | -87

4.00 1.00 22 2020-11-19-01:06:15
04:bd:88:76:f5:90 -87 w | -87 -87
04:bd:88:76:f7:20 -86 w | -86 -86
04:bd:88:76:f7:22 -89 w | -89 -89
04:bd:88:76:f4:c2 -76 w | -76 -76
70:8b:cd:5e:4f:f0 -88 w | -88 -88
04:bd:88:76:f9:e0 -48 w | -48 -48
04:bd:88:76:f9:f1 -50 w | -50 -50
04:bd:88:76:f9:f0 -51 w | -51 -51
04:bd:88:76:f9:e2 -50 w | -50 -50
04:bd:88:76:f9:e1 -48 w | -48 -48
04:bd:88:76:f9:f2 -51 w | -51 -51
04:bd:88:76:f4:20 -77 w | -77 -77
18:64:72:29:09:c0 -86 w | -86 -86
18:64:72:29:09:c2 -87 w | -87 -87
62:45:b7:78:a1:82 -76 w | -76 -76
18:64:72:29:09:c1 -86 w | -86 -86
04:bd:88:76:f5:82 -83 w | -83 -83
04:bd:88:76:f5:81 -78 w | -78 -78
04:bd:88:77:08:22 -87 w | -87 -87
04:bd:88:76:f5:92 -88 w | -88 -88
04:bd:88:76:f5:80 -78 w | -78 -78
04:bd:88:76:f5:91 -87 w | -87 -87

4.00 2.00 22 2020-11-19-01:06:25
04:bd:88:76:f5:90 -87 w | -87 -87
04:bd:88:76:f7:20 -86 w | -86 -86
04:bd:88:76:f7:22 -89 w | -89 -89
04:bd:88:76:f4:c2 -76 w | -76 -76
70:8b:cd:5e:4f:f0 -88 w | -88 -88
04:bd:88:76:f9:e0 -48 w | -48 -48
04:bd:88:76:f9:f1 -50 w | -50 -50
04:bd:88:76:f9:f0 -51 w | -51 -51
04:bd:88:76:f9:e2 -50 w | -50 -50
04:bd:88:76:f9:e1 -48 w | -48 -48
04:bd:88:76:f9:f2 -51 w | -51 -51
04:bd:88:76:f4:20 -77 w | -77 -77
18:64:72:29:09:c0 -86 w | -86 -86
18:64:72:29:09:c2 -87 w | -87 -87
62:45:b7:78:a1:82 -76 w | -76 -76
18:64:72:29:09:c1 -86 w | -86 -86
